Time (s),altitude (m)
4.646256115,1955.620346405440000
4.679570057,1974.954893369090000
4.712883998,1994.230165086250000
4.74619794,2013.446463447750000
4.779511881,2032.604095810460000
4.793339682,2040.538803575630000
4.807167483,2048.463476960200000
4.820995283,2056.378136965530000
4.845044594,2070.119529240510000
4.869093904,2083.830804822120000
4.893143215,2097.512072116660000
4.927640742,2117.084995990740000
4.962138269,2136.596714715070000
4.996635796,2156.047547953100000
5.03173042,2175.772900090830000
5.066825045,2195.435907831540000
5.10191967,2215.036905254750000
5.133364145,2232.546821391620000
5.164808619,2250.007456229980000
5.196253094,2267.419041589600000
5.231624398,2286.946679829830000
5.266995702,2306.412863694230000
5.302367006,2325.817910991590000
5.320225776,2335.592273129920000
5.338084547,2345.351170733650000
5.355943317,2355.094643710900000
5.367999067,2361.663374855550000
5.380054816,2368.225107245720000
5.392110566,2374.779853057330000
5.443988681,2402.906692637530000
5.495866797,2430.905358202840000
5.547744912,2458.776798692280000
5.599623028,2486.521963305560000
5.619231066,2496.975939393370000
5.638839103,2507.412060269210000
5.658447141,2517.830375686640000
5.671128652,2524.558968259150000
5.683810164,2531.280147079790000
5.696491676,2537.993925413200000
5.707588175,2543.862514029330000
5.718684674,2549.725455407450000
5.729781173,2555.582758348440000
5.738667392,2560.269302111640000
5.747553611,2564.952240070360000
5.756439831,2569.631576717520000
5.779919639,2581.978366504010000
5.803399447,2594.300126614630000
5.826879255,2606.596938543670000
5.836492433,2611.624356760260000
5.888376492,2638.686672402240000
5.931386325,2661.028976005160000
5.974396157,2683.289044440400000
6.01740599,2705.467357713440000
6.085229657,2740.275944642240000
6.13408182,2765.223706829900000
6.182933983,2790.068274516670000
6.231786147,2814.810328974870000
6.28063831,2839.450533339050000
6.343231322,2870.873589399440000
6.405824334,2902.131895178950000
6.468417346,2933.226804055020000
6.531010358,2964.159649717910000
6.540511306,2968.840841168470000
6.550012253,2973.518334167760000
6.559513201,2978.192132941150000
6.578515096,2987.528663839690000
6.597516991,2996.850470177330000
6.616518886,3006.157590497470000
6.635520781,3015.450061488130000
6.686852681,3040.479870854830000
6.729556609,3061.221863417700000
6.772260538,3081.890937902280000
6.814964467,3102.487489485980000
6.857668395,3123.011908751440000
6.900372324,3143.464582582820000
6.943076253,3163.845895296200000
6.985780181,3184.156229398120000
7.022835821,3201.723010593930000
7.059891461,3219.236906237710000
7.088864658,3232.894018068560000
7.117837856,3246.519040665710000
7.146811053,3260.112088392180000
7.189766952,3280.206603792090000
7.22178172,3295.137578803390000
7.253796487,3310.030013511000000
7.285811254,3324.884062907180000
7.317826022,3339.699879145760000
7.36216547,3360.156456562290000
7.395890295,3375.667175414510000
7.42961512,3391.136035998180000
7.463339944,3406.563206734600000
7.497064769,3421.948853395840000
7.536176822,3439.740427425360000
7.575288875,3457.476626563680000
7.614400927,3475.157704577750000
7.65351298,3492.783917095100000
7.692625033,3510.355521460500000
7.736426729,3529.969505374380000
7.771892883,3545.801216776830000
7.807359038,3561.588658601350000
7.842825192,3577.332012680350000
7.878291346,3593.031457914090000
7.913757501,3608.687171667930000
7.96140337,3629.650812236680000
7.998195662,3645.785486652850000
8.034987953,3661.873741946660000
8.071780244,3677.915775540290000
8.108572536,3693.911784048460000
8.159080022,3715.796080821750000
8.209587509,3737.594508942490000
8.249609288,3754.806777428110000
8.289631067,3771.965678909550000
8.329652847,3789.071450766570000
8.369674626,3806.124328278700000
8.423902887,3829.146470770820000
8.465402001,3846.699621175970000
8.506901115,3864.196750752570000
8.548400229,3881.638117609590000
8.589899342,3899.023976314500000
8.631398456,3916.354577933310000
8.67289757,3933.630169987940000
8.714396684,3950.850998177480000
8.766799098,3972.518497248030000
8.80895569,3989.886763251990000
8.851112282,4007.199344292940000
8.893268875,4024.456494303140000
8.935425467,4041.658464498940000
8.986742102,4062.524075026950000
9.038058737,4083.308728357410000
9.089375372,4104.012858754310000
9.140692007,4124.636895781520000
9.197631649,4147.427585355910000
9.243827565,4165.846317516280000
9.290023481,4184.201180196300000
9.336219397,4202.492480907100000
9.382415313,4220.720525044700000
9.439662399,4243.221839397870000
9.483588424,4260.422031655310000
9.527514449,4277.565885297360000
9.571440473,4294.653647048160000
9.615366498,4311.685561820600000
9.670240679,4332.884434666520000
9.72511486,4353.997008333490000
9.779989041,4375.023755952710000
9.834863221,4395.965147559360000
9.889737402,4416.821648306290000
9.944611583,4437.593716658630000
9.953895005,4441.099545234720000
9.963178427,4444.602972638680000
9.972461848,4448.104000831330000
9.991028692,4455.098870762070000
10.00959554,4462.084170139810000
10.02816238,4469.059915357090000
10.09949154,4495.770420938480000
10.15317959,4515.782612151650000
10.20686764,4535.716019053520000
10.26055569,4555.571058892260000
10.31424374,4575.348146689330000
10.36793179,4595.047694556880000
10.42161984,4614.670108380570000
10.47530789,4634.215787395770000
10.52899594,4653.685123475660000
10.58268399,4673.078502588790000
10.63637204,4692.396307113860000
10.69006009,4711.638917279620000
10.74374814,4730.806712633270000
10.79743619,4749.900071546850000
10.85112424,4768.919370402930000
10.9048123,4787.864982114610000
10.95850035,4806.737274243590000
11.0121884,4825.536608617490000
11.06587645,4844.263341082160000
11.1195645,4862.917822663540000
11.17325255,4881.500401019430000
11.2269406,4900.011422681630000
11.28062865,4918.451233536060000
11.3343167,4936.820178591860000
11.38800475,4955.118600916660000
11.4416928,4973.346840381690000
11.49538085,4991.505313045970000
11.5490689,5009.594580357280000
11.60275695,5027.615323523530000
11.656445,5045.568276785200000
11.71013305,5063.454175843300000
11.7638211,5081.273735902440000
11.81750916,5099.027649374640000
11.87119721,5116.716590499810000
11.92488526,5134.341219726090000
11.97857331,5151.902185781330000
12.03226136,5169.400125789030000
12.08594941,5186.835664369850000
12.15267929,5208.420557650090000
12.20296068,5224.622544308110000
12.25324207,5240.771458338510000
12.30352346,5256.867764535740000
12.35380485,5272.911918277070000
12.41193029,5291.394602541690000
12.47005573,5309.808867776740000
12.52818116,5328.155379919960000
12.5863066,5346.434792781660000
12.6562291,5368.336168222330000
12.72615159,5390.142465770300000
12.78186413,5407.449840665890000
12.83757667,5424.698046732730000
12.89328921,5441.887592604270000
12.94900176,5459.018975783990000
13.0047143,5476.092683789570000
13.06042684,5493.109195403090000
13.11613938,5510.068981568050000
13.17185192,5526.972505759620000
13.23705285,5546.684024609530000
13.30225377,5566.319826448480000
13.3674547,5585.880611977870000
13.43265563,5605.367065259040000
13.49785655,5624.779853640160000
13.56305748,5644.119625157580000
13.62825841,5663.387004038060000
13.69345934,5682.582591056100000
13.75866026,5701.706960632830000
13.82386119,5720.760642365090000
13.88906212,5739.744112863200000
13.97189459,5763.760488418910000
14.05472707,5787.665039247560000
14.13755954,5811.458437177240000
14.22039202,5835.141292325310000
14.30322449,5858.714158941730000
14.38605697,5882.177553976830000
14.46888944,5905.531982313150000
14.55172192,5928.777946272870000
14.63455439,5951.915945848710000
14.71738687,5974.946476250890000
14.80021934,5997.870025365220000
14.88305182,6020.687072314930000
14.96588429,6043.398087747500000
15.04871677,6066.003535057780000
15.14151515,6091.203914926500000
15.23431352,6116.273009366690000
15.3271119,6141.211451223710000
15.41991028,6166.019866448670000
15.51270866,6190.698872003650000
15.60550704,6215.249074116620000
15.69830541,6239.671065571310000
15.79110379,6263.965423459070000
15.87409279,6285.584068321200000
15.95708179,6307.101493798600000
16.0400708,6328.518104576190000
16.1230598,6349.834306605530000
16.2060488,6371.050503053550000
16.22061449,6374.763944100220000
16.23518017,6378.474318771620000
16.24974586,6382.181629096550000
16.26431154,6385.885877123030000
16.29344291,6393.285197202710000
16.32257428,6400.672294395700000
16.35170565,6408.047183676360000
16.41041773,6422.873706980420000
16.46912982,6437.650843046040000
16.5278419,6452.378716315910000
16.60659507,6472.056699351480000
16.68534824,6491.646561739890000
16.76410141,6511.148640317800000
16.84285458,6530.563247341150000
16.92160775,6549.890687143040000
17.00036092,6569.131261361560000
17.07911409,6588.285268529730000
17.15786726,6607.353002531840000
17.23662043,6626.334751816910000
17.3153736,6645.230799684940000
17.39412677,6664.041425326100000
17.47287994,6682.766904294550000
17.55163311,6701.407508264150000
17.64508301,6723.417037666190000
17.73853291,6745.307886330670000
17.83198282,6767.080502962060000
17.92543272,6788.735335510640000
18.01888262,6810.272827201010000
18.11233252,6831.693412225090000
18.20578243,6852.997512863540000
18.29923233,6874.185539832080000
18.39268223,6895.257895359230000
18.48613213,6916.214977279300000
18.57958203,6937.057182349940000
18.67303194,6957.784907643810000
18.76648184,6978.398549776940000
18.85993174,6998.898502572240000
18.95338164,7019.285154246300000
19.04683155,7039.558885227200000
19.14028145,7059.720067321680000
19.25012044,7083.273688650920000
19.35995943,7106.672904869180000
19.46979843,7129.918288855740000
19.57963742,7153.010409244740000
19.68947641,7175.949831797940000
19.7993154,7198.737118225160000
19.9091544,7221.372822499750000
20.01899339,7243.857487155600000
20.12883238,7266.191641297370000
20.23867137,7288.375801152030000
20.34851037,7310.410472974750000
20.45834936,7332.296156822510000
20.56818835,7354.033349507840000
20.67802734,7375.622545682130000
20.81146423,7401.651584838880000
20.92238698,7423.123802748040000
21.03330973,7444.446682748750000
21.14423248,7465.620705525410000
21.25515523,7486.646341235390000
21.36607798,7507.524050505090000
21.5003034,7532.590595453990000
21.63452882,7557.441988640450000
21.76875424,7582.079012737900000
21.90297966,7606.502436874200000
22.03720507,7630.713014578560000
22.17143049,7654.711485187410000
22.30565591,7678.498573162110000
22.43988133,7702.074986870680000
22.58969002,7728.140635550300000
22.73949871,7753.945655225110000
22.8893074,7779.490967634220000
23.03911609,7804.777480283040000
23.18892478,7829.806088162420000
23.33873347,7854.577668033360000
23.48854216,7879.093073670210000
23.63835085,7903.353137938290000
23.78815954,7927.358674274650000
23.93796823,7951.110477571040000
24.08777692,7974.609325463030000
24.27177409,8003.125934217880000
24.42413626,8026.452670300710000
24.57649843,8049.520270872310000
24.7288606,8072.329503003640000
24.88122276,8094.881123902170000
25.03358493,8117.175878321050000
25.20407843,8141.820102713620000
25.37457192,8166.144596913480000
25.4049535,8170.445682207570000
25.43533508,8174.736651785450000
25.46571665,8179.017510733410000
25.52647981,8187.548925997670000
25.58724296,8196.039967485230000
25.64800611,8204.490677770250000
25.78338162,8223.173367681510000
25.88522213,8237.096480515760000
25.98706263,8250.906886890810000
26.08890314,8264.604778599790000
26.19074365,8278.190340034580000
26.30741054,8293.615928127350000
26.42407742,8308.894602146710000
26.54074431,8324.026624123810000
26.6574112,8339.012255465540000
26.77407809,8353.851758114880000
26.90744135,8370.636306909410000
27.04080461,8387.230643081390000
27.17416787,8403.635156667530000
27.30753114,8419.850234695440000
27.4408944,8435.876259135890000
27.60686384,8455.557036633580000
27.73662311,8470.740898953780000
27.86638238,8485.746899384840000
27.99614165,8500.575356632560000
28.12590092,8515.226581396090000
28.28820376,8533.303309312210000
28.45050659,8551.103814310510000
28.61280943,8568.628663920510000
28.77511227,8585.878418489520000
28.93741511,8602.853634027790000
29.09971795,8619.554861970940000
29.26202079,8635.982647967270000
29.42432363,8652.137530411300000
29.61282889,8670.558634373990000
29.80133414,8688.613132349840000
29.98983939,8706.301814492400000
30.17834464,8723.625447585190000
30.3668499,8740.584775887760000
30.55535515,8757.180523395390000
30.7438604,8773.413395936490000
30.77348878,8775.931849254670000
30.80311717,8778.441357737210000
30.83274555,8780.941924008200000
30.86237393,8783.433550684230000
30.89200232,8785.916240369970000
30.95125908,8790.854819121230000
31.01051585,8795.757680873600000
31.06977262,8800.624846109690000
31.12902938,8805.456335176340000
31.26132448,8816.114356174060000
31.39361958,8826.594876276020000
31.52591468,8836.898115211880000
31.65820978,8847.024289728740000
31.83584638,8860.342890726710000
32.01348299,8873.343153093590000
32.1911196,8886.025578582340000
32.3687562,8898.390660114920000
32.54639281,8910.438881785690000
32.72402942,8922.170718397680000
32.90166602,8933.586635105330000
33.09915627,8945.908156727620000
33.29664652,8957.840372035600000
33.49413677,8969.383878941980000
33.69162702,8980.539263656770000
33.88911727,8991.307101700100000
34.11222202,9003.006034086210000
34.33532677,9014.211890095600000
34.55843152,9024.925453671660000
34.78153627,9035.147496053300000
35.00464102,9044.878777601980000
35.28407305,9056.375809340750000
35.56350508,9067.105629134120000
35.84293711,9077.069677566870000
36.12236914,9086.269380481350000
36.40180116,9094.706149835620000
36.68123319,9102.381382929670000
36.96066522,9109.296459601470000
37.24009725,9115.452736922010000
37.56815562,9121.713752141660000
37.896214,9126.932791046460000
38.22427237,9131.111789678260000
38.55233075,9134.252491644440000
38.88038912,9136.356362998020000
39.2084475,9137.424477705510000
39.38289912,9137.570841987850000
39.39047619,9137.570566216420000
39.40004307,9137.568989248920000
39.40960994,9137.566531950470000
