Time (s),Acceleration m/s^2
74.451636,0.025176712
74.58684285,0.025174019
74.7220497,0.024278065
74.85725656,0.022378915
75.12767026,0.019213737
75.39808396,0.016609199
75.95718097,0.012346287
76.51627797,0.009849054
77.07537498,0.008567821
78.36563183,0.007771159
79.65588868,0.007681858
80.94614554,0.007675252
82.23640239,0.007689736
84.18282435,0.007695419
86.12924632,0.007680081
88.07566828,0.007650001
93.30997807,0.007555752
98.54428786,0.007454563
103.7785976,0.007357347
113.8031886,0.007179265
118.3597002,0.007103629
122.9162118,0.007027792
123.2118469,0.007023526
123.507482,0.008181156
123.8917449,0.010297115
124.2760079,0.012327838
124.8452426,0.015135992
125.4144773,0.017169372
125.983712,0.018571411
128.8023737,0.019884072
129.1101069,0.020134332
129.4178401,0.020356492
129.7255732,0.020534266
130.0333064,0.020672413
130.6487728,0.020875608
131.2642391,0.021004324
131.8797054,0.021083161
134.1183861,0.021215496
136.3570667,0.021196589
138.5957473,0.021142923
143.437873,0.021046992
148.2799987,0.020959331
153.1221244,0.020878384
163.4919984,0.020713251
170.514406,0.020626493
171.054239,0.020825656
171.594072,0.020967683
172.133905,0.021063357
173.213571,0.021174521
174.293237,0.021213914
175.372903,0.021218515
177.952135,0.021197667
180.5313671,0.021152252
183.1105992,0.021105703
190.6153254,0.020984855
198.1200517,0.02087043
205.6247779,0.020759087
213.6751676,0.020644266
216.9028525,0.020836218
219.226836,0.021835909
221.5508195,0.021983049
223.874803,0.02179904
226.4971045,0.02169527
229.1194061,0.021698662
231.7417076,0.021708355
237.4906577,0.02163483
243.2396077,0.021547916
248.9885578,0.021463806
259.7008132,0.02131207
261.2381438,0.020963926
262.7754745,0.019455734
264.3128051,0.018924103
265.8501357,0.01875332
267.3874664,0.018705674
268.924797,0.018692707
271.4959877,0.01867071
274.0671783,0.018645479
276.6383689,0.018615528
285.9694247,0.018499891
295.3004805,0.018383632
304.6315362,0.018265235
304.8105605,0.017639498
304.9895847,0.017089662
305.1686089,0.016606374
305.3476331,0.016181424
305.5266573,0.015807609
305.8847058,0.015149784
306.2427542,0.014644461
306.6008027,0.014257789
309.0188309,0.013459128
310.8474396,0.013134237
312.6760483,0.012769569
314.504657,0.012662089
316.3332657,0.012797719
319.990483,0.012852306
323.6477004,0.012843242
327.3049178,0.012807185
337.6661608,0.012703348
348.0274039,0.012487437
348.8554538,0.012047873
349.6835036,0.011778999
350.5115535,0.011622603
352.1676532,0.011463361
353.823753,0.011414361
355.4798527,0.011400712
359.2713439,0.011370133
363.0628351,0.011342364
366.8543264,0.01131004
377.737927,0.011211706
388.6215276,0.011114813
389.427091,0.010731177
390.2326543,0.009999397
391.0382177,0.009568561
392.6493444,0.00914552
394.2604711,0.009024598
395.8715978,0.009005656
398.521068,0.008996396
401.1705382,0.008990425
403.8200084,0.008975347
414.6304954,0.008889522
425.4409824,0.008797648
428.5770979,0.008772268
430.4886653,0.00963005
